86.48.26.221 - - [27/May/2025:02:41:55 +0000] "GET /health/images HTTP/1.1" 200 157 "-" "curl/8.5.0" "-"
86.48.26.221 - - [27/May/2025:02:42:02 +0000] "GET /files-list HTTP/1.1" 200 315 "-" "curl/8.5.0" "-"
179.6.27.58 - - [27/May/2025:02:42:32 +0000] "GET /favicon.ico HTTP/1.1" 200 52 "http://86.48.26.221/health" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:42:41 +0000] "GET /files-list HTTP/1.1" 200 315 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:42:41 +0000] "GET /favicon.ico HTTP/1.1" 200 52 "http://86.48.26.221/files-list" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:42:44 +0000] "GET /files/default/1748144979835-test-image.png HTTP/1.1" 200 98 "http://86.48.26.221/files-list" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:42:45 +0000] "GET /favicon.ico HTTP/1.1" 200 52 "http://86.48.26.221/files/default/1748144979835-test-image.png" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
176.65.148.250 - - [27/May/2025:02:42:58 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 200 52 "http://86.48.26.221:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0" "-"
176.65.148.250 - - [27/May/2025:02:42:58 +0000] "" 400 0 "-" "-" "-"
179.6.27.58 - - [27/May/2025:02:44:44 +0000] "GET /favicon.ico HTTP/1.1" 200 52 "http://86.48.26.221/files/default/1748144979835-test-image.png" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:45:00 +0000] "GET /files-list HTTP/1.1" 200 315 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:45:00 +0000] "GET /favicon.ico HTTP/1.1" 200 52 "http://86.48.26.221/files-list" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
179.6.27.58 - - [27/May/2025:02:45:21 +0000] "GET /favicon.ico HTTP/1.1" 200 52 "http://86.48.26.221/files/default/1748144979835-test-image.png" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
185.218.84.7 - - [27/May/2025:02:58:55 +0000] "GET / HTTP/1.1" 200 52 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
204.76.203.206 - - [27/May/2025:03:01:42 +0000] "GET / HTTP/1.1" 200 52 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
